Origin,Trans
"VOCALOID5 Editor not authorized.

Please enter a valid VOCALOID5 serial number into the VOCALOID Authorizer.

Authorize now?

(Clicking [Yes] will launch the VOCALOID Authorizer.)",VOCALOID5 Editor 没有激活.\r\n请在激活器中输入序列号激活.\r\n现在激活么?\r\n(点击 [是] 运行 VOCALOID 激活器.)
Join VOCALOID Parts(_J),合并VOCALOID序列(_J)
Add Audio Part to Media,添加音频部分到媒体库
Insert Lyrics...,输入歌词...
An archive entry was not found or was corrupt.,An archive entry was not found or was corrupt.
"Please authorize the voice using the Activate app that corresponds to the version of the voice.
(Voicebanks whose authorization grace periods have expired will not play.)

Please see the corresponding product's manual for authorization instructions.","Please authorize the voice using the Activate app that corresponds to the version of the voice.
(Voicebanks whose authorization grace periods have expired will not play.)

Please see the corresponding product's manual for authorization instructions."
Join VOCALOID Parts,连接VOCALOID序列
Audio Mixdown of part,序列混音
Duplicate,复制并粘贴
Create Part on Song Position(_P),在当前位置创建序列(_P)
View,显示
Import tempo and time sig?,Import tempo and time sig?
Failed to duplicate TimeSig.,Failed to duplicate TimeSig.
Failed to duplicate VOCALOID Part.,Failed to duplicate VOCALOID Part.
Failed to move Track Volume.,Failed to move Track Volume.
Tutorial,新手教学
"The edited data will be discarded.
This action cannot be undone.
Do you wish to continue?","The edited data will be discarded.
This action cannot be undone.
Do you wish to continue?"
Redo,重复
Scissors(_S),切分(_S)
Failed to save media.,Failed to save media.
Customize Shortcuts,自定义快捷键
Failed to initialize Database Manager.,Failed to initialize Database Manager.
English,英语
Show or Hide Control Parameters Area,显示或隐藏控制参数区域
Failed to delete Track Volume.,Failed to delete Track Volume.
Don't check for updates upon launch.,不再检查更新
Audio Mixdown,混音
Export to Audio File(_E)...,导出到音频文件(_E)…
Untitled,Untitled
Failed to copy.,Failed to copy.
Failed to initialize user configuration file. VOCALOID5 Editor will now close.,Failed to initialize user configuration file. VOCALOID5 Editor will now close.
note,note
A file with this name already exists. Overwrite existing file?,"文件已存在,要覆盖么?"
Cannot add more tracks. Track count is at the limit.,Cannot add more tracks. Track count is at the limit.
Add New Type,Add New Type
Preferences,全局设置
Add Audio Part to Media...,添加音频段落到媒体库
VOCALOID Sequence|*.vpr;*.vsqx|All Files|*.*,VOCALOID Sequence|*.vpr;*.vsqx|All Files|*.*
Japanese,日语
Set end marker to song position(_E),标记当前位置为结束点(_E)
Stereo Out R,立体声输出 R
No track selected.,No track selected.
Delete,删除
Check for new content upon launch.,启动时检查附件更新.
Failed to initialize Style Manager.,Failed to initialize Style Manager.
Audio Track Color,声音轨道颜色
Voice Bank used in project not installed.,Voice Bank used in project not installed.
Changed to installed Voice Bank.,Changed to installed Voice Bank.
Audio Mixdown,混音
VOCALOID5 Editor,VOCALOID5 Editor
Cut(_T),切(_T)
Failed to move Master Volume.,Failed to move Master Volume.
Phonetic Symbol Mode,发音符号模式
Track Selection,音轨选择
Failed to initialize DSE.,Failed to initialize DSE.
Failed to get content information.,获取内容信息失败。
Audio Mixdown...,混音...
Select All Time Signatures(_T),选择全部节奏(_T)
Failed to resize Audio part.,Failed to resize Audio part.
Edit Media Properties(_E),编辑媒体属性(_E)
Failed to cut.,Failed to cut.
Sampling Rate,音频采样率
"Fatal Error: Failed to write synthesized audio file.

Please save your project under a different name and then relaunch the application.","Fatal Error: Failed to write synthesized audio file.

Please save your project under a different name and then relaunch the application."
Cut,剪切
Add Audio Effect(_A),添加音频效果(_A)
Server Error.,Server Error.
Your software is up to date.,已经是新版本
Select All,全选
Activate VOCALOID5 products.,Activate VOCALOID5 products.
Failed to add Audio part.,Failed to add Audio part.
Add New Genre,Add New Genre
Add New Color,Add New Color
Add VOCALOID Part to Media...,添加VOCALOID段落到媒体库…
Media Pasting Key Transposition Settings,Media Pasting Key Transposition Settings
Failed to delete control parameter.,Failed to delete control parameter.
Remind Me Later,以后提示我
Are you sure you want to delete this media? This action cannot be undone.,Are you sure you want to delete this media? This action cannot be undone.
Check for Updates...,检查更新...
Failed to initialize Audio Engine.,Failed to initialize Audio Engine.
The user configuration file will be initialized because it is corrupted.,The user configuration file will be initialized because it is corrupted.
Connecting to ReWire.,连接到ReWire.
Edit Media Properties,编辑媒体属性
Failed to get updater information.,获取更新信息失败
Installation Interrupted.,安装中断。
"VOCALOID5 Editor not authorized.

Please enter a valid VOCALOID5 serial number into the VOCALOID Authorizer.

(Clicking [OK] will launch the VOCALOID Authorizer.)",VOCALOID5 Editor 没有激活.\r\n请在激活器中输入序列号激活.\r\n现在激活么?\r\n(点击 [是] 运行 VOCALOID 激活器.)
Freeze,Freeze
Quantize,小节
Shift Lyrics Left(_L),提前歌词(_L)
Failed to optimize sequence data for the current version of VOCALOID5 Editor.,Failed to optimize sequence data for the current version of VOCALOID5 Editor.
The following voice has not been authorized.,The following voice has not been authorized.
Failed to edit note.,Failed to edit note.
Voice Bank not installed,Voice Bank not installed
Update now?,现在更新么?
A new version of VOCALOID5 Editor is available to download.,发现新版本的VOCALOID5 Editor可被下载
"Cannot add more tracks.
The track count is at the limit.","Cannot add more tracks.
The track count is at the limit."
Close,关闭
File,文件
API Error.,API Error.
Preventing double start,Preventing double start
Failed to perform Double Tempo.,Failed to perform Double Tempo.
Normalize Audio Wave,标准化声音
Master Volume View,主控音量轨
Failed to delete.,Failed to delete.
Stereo Out L,立体声输出 L
Reset Lyrics(_R),重置歌词(_R)
Setting,设定
Control Panel,控制面板
Audio Device,音频设备
Customize Shortcuts,自定义快捷键
Add VOCALOID part to Media(_M)...,添加VOCALOID段落到媒体(_M)…
This application is already running.,This application is already running.
Arrow(_A),箭头(_A)
Attack & Release Effect,启停效果
Failed to perform partial audio mixdown.,Failed to perform partial audio mixdown.
Half Tempo,减速一倍
Record,录音
Setting,设定
Failed to move Panpot.,Failed to move Panpot.
(New),(New)
New(_N),新建(_N)
Open News...,查看最新资讯...
Additional VOCALOID5 content is available to download.,Additional VOCALOID5 content is available to download.
Add New Color,添加新类型
Repeat(_R),重复(_R)
Master Track,主音轨
Add New Type,添加新分类
Select All(_A),全选(_A)
None,None
VOCALOID Track Color,VOCALOID轨道颜色
Paste(_P),粘贴(_P)
Delete Media(_D),删除媒体(_D)
The path name is too long.,The path name is too long.
New,新建
Network Error.,Network Error.
"Please enter the applicable serial number for this voice into the VOCALOID Authorizer.
(Voicebanks whose authorization grace periods have expired will not play.)

Authorize now?

(Clicking [Yes] will launch the VOCALOID Authorizer.)",请在激活器中输入序列号激活.\r\n现在激活么?\r\n(点击 [是] 运行 VOCALOID 激活器.)
Failed to edit control parameter.,Failed to edit control parameter.
SMF|*.mid;*.midi,SMF|*.mid;*.midi
Audio file cannot be found.,无法找到音频文件。
Failed to export Audio File this place. : Error ,Failed to export Audio File this place. : Error 
Failed to delete style preset.,Failed to delete style preset.
vocaloid.com,vocaloid.com
Failed to duplicate Track Volume.,Failed to duplicate Track Volume.
Pencil,铅笔
Installation Error.,Installation Error.
About VOCALOID5 Editor,关于VOCALOID5编辑器
Failed to delete Master Volume.,Failed to delete Master Volume.
Pencil(_P),铅笔(_P)
Failed to add Panpot.,Failed to add Panpot.
https://rsc-net.vocaloid.com/assets/pdf_files/VOCALOID5_Reference_Manual_ENG.pdf,https://rsc-net.vocaloid.com/assets/pdf_files/VOCALOID5_Reference_Manual_ENG.pdf
Failed to reverse audio wave. Error ,Failed to reverse audio wave. Error 
This name contains space.,This name contains space.
Failed to add Track Volume.,Failed to add Track Volume.
Max:,Max:
Media,媒体库
Sound Preview,声音预览
Frailed to duplicate Track.,Frailed to duplicate Track.
Add Audio Track,添加声音轨道
Paste,粘贴
MSD and Export to WAV(_W)...,MSD并且导出到WAV文件(_W)...
Multichannel,选择音轨
Breath,呼吸
Failed to save style preset file.,Failed to save style preset file.
Edit Part Name,编辑序列名
Add,添加
Select All Tempos(_T),选择全部曲速(_T)
Failed to save sequence file.,Failed to save sequence file.
Save,保存
Delete(_D),删除(_D)
Bit Depth,音频位深
Return to Start position on Stop,停止时回到起始点
Customize Shortcuts...,自定义快捷键...
Wave File|*.wav|All Files|*.*,Wave File|*.wav|All Files|*.*
Failed to duplicate Audio part.,Failed to duplicate Audio part.
Getting Updater Information.,获取到更新信息。
Failed to add Master Volume.,Failed to add Master Volume.
Failed to Freeze.,Failed to Freeze.
