Origin,Trans
Activate VOCALOID5 products.,激活VOCALOID5产品。
Failed to add Audio part.,添加音频部件失败。
Add New Genre,添加新流派
Add New Color,添加新颜色
Add VOCALOID Part to Media...,将VOCALOID部件添加到媒体...
Media Pasting Key Transposition Settings,媒体粘贴键调换设置
Failed to delete control parameter.,删除控制参数失败。
Remind Me Later,稍后再提醒我
Are you sure you want to delete this media? This action cannot be undone.,您确定要删除此媒体吗？这个行为是不可撤销的。
Check for Updates...,检查更新...
Failed to initialize Audio Engine.,无法初始化音频引擎。
The user configuration file will be initialized because it is corrupted.,用户配置文件将被初始化，因为它已损坏。
Connecting to ReWire.,正在连接以重新布线。
Edit Media Properties,编辑媒体属性
Failed to get updater information.,无法获取更新程序信息。
Installation Interrupted.,安装中断。
"VOCALOID5 Editor not authorized.

Please enter a valid VOCALOID5 serial number into the VOCALOID Authorizer.

(Clicking [OK] will launch the VOCALOID Authorizer.)",VOCALOID5编辑器未授权。\r\n\r\n请在VOCALOID授权程序中输入有效的VOCALOID5序列号。\r\n\r\n(单击[确定]将启动VOCALOID授权程序。)
Freeze,冰冻
Quantize,量化
Shift Lyrics Left(_L),将歌词左移(_L)
Failed to optimize sequence data for the current version of VOCALOID5 Editor.,无法为当前版本的VOCALOID5编辑器优化序列数据。
The following voice has not been authorized.,以下语音未获授权。
Failed to edit note.,编辑备注失败。
Voice Bank not installed,未安装语音库
Update now?,现在是否更新？
A new version of VOCALOID5 Editor is available to download.,新版本的VOCALOID5编辑器可供下载。
"Cannot add more tracks.
The track count is at the limit.",无法添加更多曲目。\r\n曲目数量已达到限制。
Close,关闭
File,档案
API Error.,API错误。
Preventing double start,防止双重启动
Failed to perform Double Tempo.,无法执行双节拍。
Normalize Audio Wave,归一化音波
Master Volume View,主卷视图
Failed to delete.,删除失败。
Stereo Out L,立体声输出 L
Reset Lyrics(_R),重置歌词(_R)
Setting,设置
Control Panel,控制面板
Audio Device,音频设备
Customize Shortcuts,自定义快捷方式
Add VOCALOID part to Media(_M)...,将VOCALOID部件添加到媒体(_M)...
This application is already running.,此应用程序已在运行。
Arrow(_A),箭头(_A)
Attack & Release Effect,攻击与释放效果
Failed to perform partial audio mixdown.,无法执行部分音频压缩。
Half Tempo,半拍子
Record,记录
Setting,设置
Failed to move Panpot.,无法移动Panpot。
(New),(新增)
New(_N),新(_N)
Open News...,打开新闻...
Additional VOCALOID5 content is available to download.,其他VOCALOID5内容可供下载。
Add New Color,添加新颜色
Repeat(_R),重复(_R)
Master Track,主轨
Add New Type,添加新类型
Select All(_A),全选(_A)
None,无
VOCALOID Track Color,元音音轨颜色
Paste(_P),粘贴(_P)
Delete Media(_D),删除媒体(_D)
The path name is too long.,路径名太长。
New,新的
Network Error.,网络错误。
"Please enter the applicable serial number for this voice into the VOCALOID Authorizer.
(Voicebanks whose authorization grace periods have expired will not play.)

Authorize now?

(Clicking [Yes] will launch the VOCALOID Authorizer.)",请在VOCALOID授权程序中输入此语音的适用序列号。\r\n(授权宽限期已过的语音库将不会播放。)\r\n\r\n立即授权？\r\n\r\n(单击[是]将启动VOCALOID授权程序。)
Failed to edit control parameter.,编辑控制参数失败。
SMF|*.mid;*.midi,SMF|*.MID;*.midi
Audio file cannot be found.,找不到音频文件。
Failed to export Audio File this place. : Error ,无法在此位置导出音频文件。: 错误
Failed to delete style preset.,删除样式预设失败。
vocaloid.com,vocaloid.com
Failed to duplicate Track Volume.,复制曲目音量失败。
Pencil,铅笔
Installation Error.,安装错误。
About VOCALOID5 Editor,关于VOCALOID5编辑器
Failed to delete Master Volume.,删除主卷失败。
Pencil(_P),铅笔(_P)
Failed to add Panpot.,添加Panpot失败。
https://rsc-net.vocaloid.com/assets/pdf_files/VOCALOID5_Reference_Manual_ENG.pdf,https://rsc-net.vocaloid.com/assets/pdf_files/VOCALOID5_Reference_Manual_ENG.pdf
Failed to reverse audio wave. Error ,反转音波失败。误差率
This name contains space.,此名称包含空格。
Failed to add Track Volume.,无法添加曲目音量。
Max:,最大：
Media,媒体
Sound Preview,声音预览
Frailed to duplicate Track.,已损坏为复制曲目。
Add Audio Track,添加音轨
Paste,暂停
MSD and Export to WAV(_W)...,MSD和导出到WAV(_W)...
Multichannel,多通道
Breath,呼出
Failed to save style preset file.,保存样式预设文件失败。
Edit Part Name,编辑零件名称
Add,增列
Select All Tempos(_T),选择所有节拍(_T)
Failed to save sequence file.,无法保存序列文件。
Save,保存
Delete(_D),删除(_D)
Bit Depth,位深度
Return to Start position on Stop,在停车时返回到起始位置
Customize Shortcuts...,自定义快捷键...
Wave File|*.wav|All Files|*.*,波形文件|*.wav|所有文件|*.*
Failed to duplicate Audio part.,复制音频部件失败。
Getting Updater Information.,正在获取更新程序信息。
Failed to add Master Volume.,添加主音量失败。
Failed to Freeze.,冻结失败。
